t,x,trivial,ukf,ukfr,pf
0.0,-0.06844883928460327,2.9999999999999997e-05,2.9999999999999997e-05,2.9999999999999997e-05,2.9999999999999997e-05
0.001000100010001,-0.07868736081797009,0.06789971861936579,0.20001480594560628,0.20001480594560628,0.3090868571043283
0.002000200020002,-0.08347478290097649,0.07062852766043645,0.200584113557049,0.200584113557049,0.19904500505884284
0.003000300030003,-0.08436314065080908,0.07504155661246088,0.2015131423756759,0.2015131423756759,0.20642973039209905
0.004000400040004,-0.08958375149196328,0.07978957064599275,0.202801945623406,0.202801945623406,0.21399338138592408
0.005000500050005001,-0.0945883507600002,0.08271217401081611,0.20445057586250115,0.20445057586250115,0.22168498548172322
0.006000600060006,-0.09873006695905102,0.08628356194487465,0.20645908500595278,0.20645908500595278,0.22991409527997253
0.0070007000700070005,-0.1117415591182815,0.09262015582269172,0.20882752433606538,0.20882752433606538,0.23856725520259459
0.008000800080008,-0.11664773339536967,0.0954720666773882,0.21155594453085247,0.21155594453085247,0.2474697396441718
0.009000900090009001,-0.11875022519609002,0.10060082323093575,0.21464439569763996,0.21464439569763996,0.2562923750069693
0.010001000100010001,-0.1225302344478335,0.10480291576844811,0.21809292741308883,0.21809292741308883,0.26582296969928537
0.011001100110011002,-0.12498800498885149,0.11444911415726988,0.22178231934481668,0.22178231934481668,0.275491208172322
0.012001200120012,-0.13616691361591465,0.11834347863495745,0.22595006832298348,0.22595006832298348,0.12338515687105524
0.013001300130013,-0.15055165757454467,0.12316095323942126,0.23047803827457028,0.23047803827457028,0.13209435397859315
0.014001400140014001,-0.1551532847426474,0.1283824022173655,0.2353662777384786,0.2353662777384786,0.14112303376940566
0.015001500150015001,-0.15988125310395537,0.13326310644559597,0.2406148352773928,0.2406148352773928,0.15058613292233727
0.016001600160016,-0.16168711976693892,0.1386800230040715,0.24622375958945286,0.24622375958945286,0.1604060478070978
0.017001700170017002,-0.16428378457790255,0.1449023793258807,0.2521930996196817,0.2521930996196817,0.1703049399208646
0.018001800180018002,-0.1667066576605647,0.15033889492584557,0.25852290466927624,0.25852290466927624,0.18118930331520056
0.019001900190019003,-0.1888317056266189,0.15664233015825024,0.26521322450090246,0.26521322450090246,0.19209139411732173
0.020002000200020003,-0.19512978169613207,0.16357012758817396,0.2722641094381953,0.2722641094381953,0.2037538088930974
0.021002100210021003,-0.20762130988220434,0.17029385890345167,0.27801254506063344,0.27801254506063344,0.21571680654311756
0.022002200220022004,-0.21640537303401794,0.17668157568780687,0.2857426608430408,0.2857426608430408,0.2526675397557134
0.023002300230023004,-0.22369386565838784,0.18391825153544425,0.29383287784135653,0.29383287784135653,0.26830873681636913
