,t,x,trivial,ukf,ukfr,pf
0,0.0,0.23221758834046516,0.0,0.0,0.0,0.0
1,0.001000100010001,0.24305166325581729,0.017348828476625514,-0.0011545731674662766,-0.0011545731674662766,-0.020461496034892418
2,0.002000200020002,0.2431091849351858,0.02294814077971518,-0.0011545731674665258,-0.0011545731674665258,0.05927502714960711
3,0.003000300030003,0.24255727365844765,0.024433984722069577,-0.0011545731674663662,-0.0011545731674663662,0.07027971299538376
4,0.004000400040004,0.2466725796323117,0.022276916329344684,-0.0011545731674664286,-0.0011545731674664286,0.08118925925054346
5,0.005000500050005001,0.24467305268488315,0.021417674149245374,-0.0011545731674664841,-0.0011545731674664841,0.09206166724952063
6,0.006000600060006,0.2460427437759669,0.02410567679949921,-0.001154573167466151,-0.001154573167466151,0.10291020504198968
7,0.0070007000700070005,0.25040670012407623,0.025568302931771657,-0.0011545731674662899,-0.0011545731674662899,0.11408049793973737
8,0.008000800080008,0.2560574283998273,0.0274489675890524,-0.0011545731674661719,-0.0011545731674661719,0.12501034448845852
9,0.009000900090009001,0.256811728299837,0.027450477772369725,-0.0011545731674663523,-0.0011545731674663523,0.135641944438316
10,0.010001000100010001,0.26481389986673065,0.02635671916286273,-0.0011545731674662482,-0.0011545731674662482,0.14672001913559377
11,0.011001100110011002,0.27131349981804104,0.026910210638859473,0.0007222213860077714,0.0007222213860077714,0.15757507506828544
12,0.012001200120012,0.26988145686385506,0.02737074773169724,0.0007362907518209741,0.0007362907518209741,0.8125839740584319
13,0.013001300130013,0.28909906125973756,0.03007122983281964,0.0007503598629467791,0.0007503598629467791,0.8299834573943717
14,0.014001400140014001,0.29823569033141867,0.03229945254430669,0.0007644287193388812,0.0007644287193388812,0.8474820498214831
15,0.015001500150015001,0.3019640148932066,0.031925862321768896,0.0007784973212040039,0.0007784973212040039,0.8651513264419531
16,0.016001600160016,0.30569387189358,0.03281289142593238,0.0007925656689718695,0.0007925656689718695,0.8825467183339657
17,0.017001700170017002,0.3177140067108837,0.032965109268459435,0.0008066337632664476,0.0008066337632664476,0.8999699229864134
18,0.018001800180018002,0.3272874168768628,0.034176458580540636,0.0008207016048717847,0.0008207016048717847,0.9174026701664584
19,0.019001900190019003,0.3342626421409974,0.03735549372277499,0.0008347691947030444,0.0008347691947030444,0.9347045153236303
20,0.020002000200020003,0.3374146833929768,0.03882558665206799,0.0008488365337751096,0.0008488365337751096,0.9520358533005362
21,0.021002100210021003,0.3457922505482202,0.04186679725079574,-0.012939938133526821,-0.012939938133526821,0.9695066182077219
22,0.022002200220022004,0.3572499440270359,0.04254790941344984,-0.013076638199224389,-0.013076638199224389,0.37793899937069186
23,0.023002300230023004,0.36551954243609863,0.04123606089588952,-0.013213335860322029,-0.013213335860322029,0.3855108000988155
24,0.024002400240024,0.3773319692818705,0.041894069683146476,-0.013350031126443285,-0.013350031126443285,0.39335140093559245
25,0.025002500250025,0.3923260042333862,0.04430983838433415,-0.01348672400664186,-0.01348672400664186,0.4008870524444893
26,0.026002600260026,0.39558925857276794,0.043666424532354635,-0.013623414509268739,-0.013623414509268739,0.4083918909209507
27,0.027002700270027002,0.4218856632370021,0.04621796714614068,-0.013760102641883099,-0.013760102641883099,0.4158762671568228
28,0.028002800280028002,0.4294533208072322,0.052053851605273274,-0.013896788411203675,-0.013896788411203675,0.42335978031892074
29,0.029002900290029002,0.4322714546776744,0.052688007566751696,-0.01403347182310033,-0.01403347182310033,0.4309729184422455
30,0.030003000300030003,0.44339470235830447,0.05535628030138926,-0.01417015288261625,-0.01417015288261625,0.438452548803853
31,0.031003100310031003,0.4557562441376705,0.057169466209124865,0.12002177746521336,0.12002177746521336,0.44597567636111407
32,0.032003200320032,0.46434749053473184,0.05858054825289175,0.12133852181754623,0.12133852181754623,-0.47473063307361174
33,0.033003300330033,0.4684040524495594,0.06191891141937844,0.12265524342006096,0.12265524342006096,-0.4802546003527853
34,0.034003400340034004,0.47727766179153097,0.06277978049113138,0.12397194204365913,0.12397194204365913,-0.48643577790429826
35,0.035003500350035,0.48390389183215304,0.06551340000662972,0.12528861751152132,0.12528861751152132,-0.4920650707389342
36,0.036003600360036005,0.48747649157017725,0.06872266726844757,0.12660526972124542,0.12660526972124542,-0.49775333117666976
37,0.037003700370037,0.49441188604130853,0.07038054171155429,0.12792189864994397,0.12792189864994397,-0.5032850771227144
38,0.038003800380038005,0.5039853219792098,0.07169556009807734,0.12923850434525308,0.12923850434525308,-0.5091745919284725
39,0.039003900390039,0.5090519686795997,0.07161362050639013,0.13055508690788775,0.13055508690788775,-0.5147375368457281
40,0.040004000400040006,0.5256888668257409,0.07153713844633068,0.13187164647162453,0.13187164647162453,-0.5202943036741687
41,0.041004100410041,0.5355498605139674,0.07431922508054974,0.4015484246783029,0.4015484246783029,-0.5259761122172911
42,0.04200420042004201,0.5470141355739099,0.07670798413587371,0.4062659283639434,0.4062659283639434,0.39365408815851394
43,0.043004300430043,0.5422200560493351,0.07950725000552579,0.41098335008250064,0.41098335008250064,0.3884984733582566
44,0.04400440044004401,0.550122917080637,0.0818761661208838,0.41570068938290294,0.41570068938290294,0.383679048171222
45,0.045004500450045004,0.5673746390935196,0.08154237618151305,0.4204179477782173,0.4204179477782173,0.37838779836827635
46,0.04600460046004601,0.57216676927775,0.08026951043444738,0.4251351270086525,0.4251351270086525,0.3729559670231359
47,0.047004700470047005,0.5845659860609542,0.0814242924544694,0.42985222821200697,0.42985222821200697,0.3673396851748095
